ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Διεύθυνση,Περιφέρεια,Περιφερειακή Ενότητα,Δήμος,Δημοτική Ενότητα,Τηλέφωνο 1,Τηλέφωνο 2,Email
090285520,Κέντρο Παιδιού και Εφήβου - Διάγνωση - Συμβουλευτική - Αποκατάσταση,-,"Εγκρεμού 30, ΤΚ:82131",ΠΕΡΙΦΕΡΕΙΑ ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΙΟΥ,ΔΗΜΟΣ ΧΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΧΙΟΥ,2271020000,6973351089,info@kpechios.org
099165667,"ΙΔΡΥΜΑ ΠΕΡΙΘΑΛΨΕΩΣ ΗΛΙΚΙΩΜΕΝΩΝ ΚΑΙ ΧΡΟΝΙΩΣ ΠΑΣΧΟΝΤΩΝ ΑΤΟΜΩΝ ""Ο ΑΓΙΟΣ ΛΕΩΝΙΔΑΣ""",-,"ΣΙΟΣ -, ΤΚ:22300",ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΚΑΔΙΑΣ,ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΛΕΩΝΙΔΙΟΥ,2757022093,6937459872,paterasanastasios@gmail.com
090220171,ΣΥΛΛΟΓΟΣ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΕΣ ΕΠΑΡΧΙΑΣ ΡΟΔΟΥ,-,"ΕΡΡΙΚΟΥ ΣΛΙΜΑΝ  1, ΤΚ:85100",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΥ,ΔΗΜΟΣ ΡΟΔΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΥ,2241063660,6972758653,dsamearodos@gmail.com
996694067,"ΠΑΓΚΡΗΤΙΟΣ ΣΥΛΛΟΓΟΣ ΚΑΤΑ ΤΟΥ ΚΑΡΚΙΝΟΥ ",ΣΤΟΧΟΣ-ΠΡΟΛΗΨΗ,"ΗΡΑΚΛΗ  61, ΤΚ:71305",ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΟΥ,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΟΥ,2810319396,6943150841,stoxoscrete@hotmail.com
090009630,ΕΘΝΙΚΟΝ ΣΥΜΒΟΥΛΙΟΝ ΤΩΝ Χ.Α.Ν ΕΛΛΑΔΟΣ,-,"ΑΚΑΔΗΜΙΑΣ  36, ΤΚ:10672",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2103634660,6948520698,greekymca@gmail.com
090297672,ΓΗΡΟΚΟΜΕΙΟ ΖΩΣΙΜΑΔΩΝ ΙΩΑΝΝΙΝΩΝ,-,"Π. ΜΑΥΡΟΓΙΑΝΝΗ 1, ΤΚ:45444",ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΝΩΝ,ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΤΩΝ,6972292101,2651020012,gir.zosimadon@gmail.com
996630860,ΑΦΙΞΙΣ - ΑΣΤΙΚΗ ΕΤΑΙΡΙΑ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΟΥ ΧΑΡΑΚΤΗΡΑ,ΑΦΙΞΙΣ,"ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 4, ΤΚ:40200",ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΣ,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΛΑΣΣΟΝΑΣ,6947269400,-,afixis.info@gmail.com
997772860,ΦΙΛΟΙ ΠΑΙΔΟΠΟΛΗΣ ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΚΑΒΑΛΑΣ,-,"ΤΕΡΜΑ ΙΟΚΑΣΤΗΣ -, ΤΚ:65404",ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,ΔΗΜΟΣ ΚΑΒΑΛΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,2510222856,6936556846,filoipaidopoli@gmail.com
099537037,ΣΥΛΛΟΓΟΣ ΣΚΕΛΕΤΙΚΗΣ ΥΓΕΙΑΣ ΠΕΤΑΛΟΥΔΑ,ΣΥΛΛΟΓΟΣ ΠΕΤΑΛΟΥΔΑ,"ΑΘΗΝΑΣ 10, ΤΚ:14561",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΗΦΙΣΙΑΣ,2132086698,6979252570,info@osteocare.gr
996753270,MITROTITA GR ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,MITROTITA.GR,"Λεωφόρος Ηρακλείου  386, ΤΚ:14122",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΗΡΑΚΛΕΙΟΥ,-,6938465459,6981344980,info@mitrotita.gr
997582020,ΝΟΜΑΡΧΙΑΚΟΣ ΣΥΛΛΟΓΟΣ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΝΟΜΟΥ ΚΑΒΑΛΑΣ,-,"ΕΘΝΙΚΗΣ ΑΝΤΙΣΤΑΣΕΩΣ  20, ΤΚ:65110",ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,ΔΗΜΟΣ ΚΑΒΑΛΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,2513503218,6946988356,amea.kavala2@hotmail.com
996912929,CINEMATHESIS AMKE,-,"ΚΩΛΕΤΤΗ 23, ΤΚ:10681",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,6972821195,-,info@cinemathesis.com
997169086,ΑΛΛΗΛΕΓΓΥΗ SOLIDARITYNOW,-,"ΜΟΝΗΣ ΠΕΤΡΑΚΗ 4, ΤΚ:11521",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2106772500,6974311760,contact@solidaritynow.org
999103093,ΟΜΙΛΟΣ UNESCO ΓΙΑ ΤΟΝ ΠΟΛΙΤΙΣΜΟ ΤΗΣ ΕΙΡΗΝΗΣ,-,"ΔΩΔΕΚΑΝΗΣΟΥ  19, ΤΚ:13562",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,2102315355,6947207989,unesco@otenet.gr
999174184,"Σύλλογος Ατόμων με Αναπηρίες Γονέων & Φίλων Νότιας Κρήτης ",ΤΟ ΜΕΛΛΟΝ,"Πρώην Δημοτικό σχολείο Φανερωμένης -, ΤΚ:70200",ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΟΥ,ΔΗΜΟΣ ΦΑΙΣΤΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΥΜΠΑΚΙΟΥ,2892023404,6944725844,info@mellonkriti.gr
090029801,ΣΟΛΩΝΕΙΟΝ ΕΥΓΗΡΙΑΣ ΜΕΛΑΘΡΟΝ,-,"ΕΝΟΡΙΑ ΑΝΑΣΤΑΣΕΩΣ -, ΤΚ:85200",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΛΥΜΝΟΥ,ΔΗΜΟΣ ΚΑΛΥΜΝΙΩΝ,-,2243051224,6941602177,soloneio@yahoo.gr
996811370,ΕΝ ΔΡΑΣΗ,ACT4Vvforvolunteers,"ΚΑΒΡΑΚΟΥ & ΦΛΕΓΙΟΥ 29, ΤΚ:42100",ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΤΡΙΚΑΛΩΝ,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΤΡΙΚΚΑΙΩΝ,6976685618,-,act4volunteers@gmail.com
090275620,"ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΓΙΑ ΤΗΝ ΣΚΛΗΡΥΝΣΗ ΚΑΤΑ ΠΛΑΚΑΣ ",-,"Ο Τ  Γ334 0, ΤΚ:55132",ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ,-,2310949909,6977567969,info@gmss.gr
997153027,"ΜΟΝΑΔΑ ΦΡΟΝΤΙΔΑΣ ΗΛΙΚΙΩΜΕΝΩΝ ΚΑΙ ΧΡΟΝΙΩΣ ΠΑΣΧΟΝΤΩΝ ""Ο ΑΓΙΟΣ ΣΙΛΑΣ""",-,"ΑΓΙΟΣ ΣΙΛΑΣ  -, ΤΚ:65110",ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,ΔΗΜΟΣ ΚΑΒΑΛΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,2510243020,6974422455,xrpasxsilas@gmail.com
996817361,ΑΚΑΔΗΜΙΑ ΕΘΕΛΟΝΤΙΣΜΟΥ ΑΣΤΙΚΗ ΜΗ ΚΕΡΔΟΣΚΟΠΙΚΗ ΕΤΑΙΡΕΙΑ,HELPHELLAS,"ΚΟΡΑΗ  30, ΤΚ:14561",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΚΗΦΙΣΙΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΗΦΙΣΙΑΣ,210 8010 818,6936979107,info@helphellas.org
999960320,Κιβωτός του Κόσμου - Αστική μη Κερδοσκοπική Εταιρία Εθελοντική μη Κυβερνητική Οργάνωση,Κιβωτός του Κόσμου,"ΖΗΝΟΔΩΡΟΥ 3, ΤΚ:10442",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2105141953,2105141935,info@kivotostoukosmou.gr
099741651,(ΕΝΩΣΗ) ΣΥΛΛΟΓΟΣ ΔΙΑΒΗΤΙΚΩΝ  ΝΟΜΟΥ ΔΡΑΜΑΣ,ΕΝΩΣΗ) ΣΥΛΛΟΓΟΣ ΔΙΑΒΗΤΙΚΩΝ  ΝΟΜΟΥ ΔΡΑΜΑΣ,"ΔΙΟΙΚΗΤΗΡΙΟΥ 41, ΤΚ:66100",ΠΕΡΙΦΕΡΕΙΑ ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,ΔΗΜΟΣ ΔΡΑΜΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,2521351149,6932621821,diabetes@drama.gr
090000229,ΧΡΙΣΤΙΑΝΙΚΗ ΑΔΕΛΦΟΤΗΣ ΝΕΩΝ ΑΘΗΝΩΝ ( Χ Α Ν ),-,"ΑΚΑΔΗΜΙΑΣ 36, ΤΚ:10672",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2103644897,6948520698,info@ymca-athens.gr
090318125,"Σύλλογος Ατόμων με Αναπηρίες Γονέων και Φίλων Ιεράπετρας ""Γεώργιος Σουργιαδάκης"" ",-,"ΝΙΚΗΦΟΡΟΥ ΦΩΚΑ  20, ΤΚ:72200",ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΣΙΘΙΟΥ,ΔΗΜΟΣ ΙΕΡΑΠΕΤΡΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΕΡΑΠΕΤΡΑΣ,2842080139,6986203558,syamea@gmail.com
090000137,ΧΡΙΣΤΙΑΝΙΚΗ ΑΔΕΛΦΟΤΗΣ ΝΕΩΝ ΘΕΣΣΑΛΟΝΙΚΗΣ (Χ.Α.Ν.Θ.),-,"Ν. ΓΕΡΜΑΝΟΥ 1, ΤΚ:54621",ΠΕΡΙΦΕΡΕΙΑ ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,2310274000,6946796929,info@ymca.gr
996773697,"ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ, ΣΥΓΓΕΝΩΝ ΚΑΙ ΦΙΛΩΝ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΑ - 2ο (ΔΕΥΤΕΡΟ) ΣΠΙΤΙ",2ο ΣΠΙΤΙ,"ΠΑΓΓΑΙΟΥ ΚΑΙ ΠΑΡΝΩΝΟΣ 30, ΤΚ:15344",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΓΕΡΑΚΑ,2106622752,6982637147,2ospiti.amea@gmail.com
997090165,ΕΛΛΗΝΙΚΟΣ ΣΥΛΛΟΓΟΣ ΠΝΕΥΜΟΝΙΚΗΣ ΙΝΩΣΗΣ,ΠΝΕΥΜΟΝΕΣ ΖΩΗΣ,"Αριστοτέλους  11- 15, ΤΚ:10432",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,6944299600,6985888894,info@ipfgreece.gr
999759438,ΘΑΛΠΟΣ-ΨΥΧΙΚΗ ΥΓΕΙΑ,ΘΑΛΠΟΣ-ΨΥΧΙΚΗ ΥΓΕΙΑ,"ΑΓΑΘΟΥΠΟΛΕΩΣ 5, ΤΚ:11257",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2108668365,-,info@thalpos.org.gr
090105285,"ΗΣΥΧΑΣΤΗΡΙΟ ""ΠΑΝΑΓΙΑ ΤΗΣ ΕΛΠΙΔΟΣ"" ΤΗΣ ΙΕΡΑΣ ΜΟΝΗΣ ΑΔΕΛΦΩΝ ΤΟΥ ΕΛΕΟΥΣ ΤΟΥ ΑΓΙΟΥ ΒΙΚΕΝΤΙΟΥ ΤΟΥ ΠΑΥΛΟΥ ΤΗΣ ΚΑΘΟΛΙΚΗΣ ΕΚΚΛΗΣΙΑΣ","ΗΣΥΧΑΣΤΗΡΙΟ ""ΠΑΝΑΓΙΑ ΤΗΣ ΕΛΠΙΔΟΣ"" ","ΚΑΛΟΜΕΝΟΠΟΥΛΟΥ 3, ΤΚ:84100",ΠΕΡΙΦΕΡΕΙΑ ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΥΡΟΥ,ΔΗΜΟΣ ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΡΜΟΥΠΟΛΕΩΣ,2281082601,6972031014,isixastiriosyros@gmail.com
997534518,ΔΙΕΘΝΕΣ ΚΕΝΤΡΟ ΓΙΑ ΤΗ ΒΙΩΣΙΜΗ ΑΝΑΠΤΥΞΗ,ICSD,"28ΗΣ ΟΚΤΩΒΡΙΟΥ  9, ΤΚ:45332",ΠΕΡΙΦΕΡΕΙΑ ΗΠΕΙΡΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΝΩΝ,ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΤΩΝ,2651068532,6976678015,icsdeu@gmail.com
997679258,ΣΥΜΠΡΑΞΗ ΦΟΡΕΩΝ ΧΑΝΙΩΝ ΓΙΑ ΤΗΝ ΑΝΑΠΤΥΞΗ ΚΑΙ ΤΗΝ ΑΠΑΣΧΟΛΗΣΗ,ΣΥΜΠΡΑΞΗ ΧΑΝΙΩΝ,"ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 4, ΤΚ:73132",ΠΕΡΙΦΕΡΕΙΑ ΚΡΗΤΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΝΙΩΝ,ΔΗΜΟΣ ΧΑΝΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΧΑΝΙΩΝ,28210 56899,6944865872,info@sfchania.gr
090001670,ΕΛΛΗΝΙΚΟΣ ΕΡΥΘΡΟΣ ΣΤΑΥΡΟΣ,-,"ΛΥΚΑΒΗΤΤΟΥ 1, ΤΚ:10672",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΑΘΗΝΑΙΩΝ,2103641811,6979113403,general-manager@redcross.gr
090192260," ΠΡΟΤΥΠΟ ΕΘΝΙΚΟ ΝΗΠΙΟΤΡΟΦΕΙΟ",-,"ΚΡΕΜΟΥ 128, ΤΚ:17675",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΔΗΜΟΣ ΚΑΛΛΙΘΕΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΛΙΘΕΑΣ,2109521728,6947601769,info@pen-kallithea.gr
090043149,ΚΕΝΤΡΟ ΕΙΔΙΚΩΝ ΑΤΟΜΩΝ Η ΧΑΡΑ,ΚΕΑ Η ΧΑΡΑ,"Λ. ΜΑΡΑΘΩΝΟΣ ΚΑΙ ΠΟΓΩΝΙΟΥ 2, ΤΚ:15351",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΗΜΟΣ ΠΑΛΛΗΝΗΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΛΛΗΝΗΣ,2106666702,-,stheodosi@kea-hara.gr
996809975,ΘΑΛΠΗ ΚΑΙ ΜΑΘΗΣΗ ΑΜΚΕ,ΘΑΛΠΗ ΚΑΙ ΜΑΘΗΣΗ ΑΜΚΕ,"ΚΑΒΟΥΝΙΔΟΥ  16, ΤΚ:19009",ΠΕΡΙΦΕΡΕΙΑ ΑΤΤΙΚΗΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΔΗΜΟΣ ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΡΑΦΗΝΑΣ,6987462188,6986563871,thalpi.mathisi@gmail.com
998271773,ΣΥΛΛΟΓΟΣ ΝΕΦΡΟΠΑΘΩΝ ΜΕΣΣΗΝΙΑΣ,-,"Noσοκομείο Καλαμάτας (Κεντρική Είσοδος) 0, ΤΚ:24100",ΠΕΡΙΦΕΡΕΙΑ ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΕΣΣΗΝΙΑΣ,ΔΗΜΟΣ ΚΑΛΑΜΑΤΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΑΜΑΤΑΣ,6986776754,6974676201,silnefmes@outlook.com
090189396,ΘΕΟΔΩΡΙΔΕΙΟ ΚΕΝΤΡΟ ΥΠΟΣΤΗΡΙΞΗΣ ΚΑΙ ΠΑΡΟΧΗΣ ΣΥΜΒΟΥΛΩΝ ΓΙΑ ΑΝΘΡΩΠΟΥΣ ΜΕ ΑΝΑΠΗΡΙΑ -ΟΡΙΖΟΝΤΕΣ,-,"ΑΛΛΑΜΑΝΗ  57, ΤΚ:43100",ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΔΙΤΣΑΣ,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΡΔΙΤΣΑΣ,2441071761,6932531532,theodorideio_orizontes@yahoo.gr
