ΑΦΜ,Επωνυμία,Διακριτικός Τίτλος,Νομική Μορφή,ΦΕΚ,ΦΕΚ Ανανέωσης,Διάρκεια Πιστοποίησης Έως,Ηλικιακή Ομάδα,Υπηρεσίες,Δομές
090018130,ΚΩΣΤΟΠΟΥΛΕΙΟΣ ΣΤΕΓΗ,ΘΕΡΑΠΕΥΤΗΡΙΟ ΧΡΟΝΙΩΝ ΠΑΘΗΣΕΩΝ (Θ.Χ.Π.-Μ.Κ.Χ.),Σωματείο – Σύλλογος,Β΄4134,,30/07/2029,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Διανυκτέρευση,Νομική βοήθεια,Προληπτική ιατρική παρακολούθηση,Σίτιση,Συνοδεία ασθενών,Φαρμακευτική φροντίδα,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία",ΚΩΣΤΟΠΟΥΛΕΙΟΣ ΣΤΕΓΗ
099459055,ΣΥΛΛΟΓΟΣ ΠΟΛΥΤΕΚΝΩΝ ΓΟΝΕΩΝ ΝΟΜΟΥ ΗΡΑΚΛΕΙΟΥ,-,Σωματείο – Σύλλογος,Β 71,,17/01/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Σίτιση,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα)",ΣΥΛΛΟΓΟΣ ΠΟΛΥΤΕΚΝΩΝ ΓΟΝΕΩΝ ΝΟΜΟΥ ΗΡΑΚΛΕΙΟΥ
099958274,"ΚΕΝΤΡΟ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΚΟΙΝΩΝΙΚΗΣ ΣΤΗΡΙΞΗΣ ΚΑΙ ΔΗΜΙΟΥΡΓΙΚΗΣ ΑΠΑΣΧΟΛΗΣΗΣ ΑΤΟΜΩΝ ΜΕ ΑΝΑΠΗΡΙΕΣ ",Ο ΣΩΤΗΡ,Αστική μη Κερδοσκοπική Εταιρεία,Β΄ 1236,,13/03/2029,"Κάτω των 5 ετών, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διανυκτέρευση,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Σίτιση,Συμβουλευτική στήριξη,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΣΤΕΓΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ Ο ΣΩΤΗΡ 1,ΣΤΕΓΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ Ο ΣΩΤΗΡ 2,ΚΔΑΠ ΜΕΑ Ο ΣΩΤΗΡ 1,ΣΤΕΓΗ ΥΠΟΣΤΗΡΙΖΟΜΕΝΗΣ ΔΙΑΒΙΩΣΗΣ Ο ΣΩΤΗΡ - ΚΑΛΛΙΚΡΑΤΕΙΑ,ΚΔΗΦ Ο ΣΩΤΗΡ ΚΑΛΛΙΚΡΑΤΕΙΑ,ΚΕΝΤΡΟ ΔΙΗΜΕΡΕΥΣΗΣ ΗΜΕΡΗΣΙΑΣ ΦΡΟΝΤΙΔΑΣ Ο ΣΩΤΗΡ"
090333349,ΣΥΛΛΟΓΟΣ ΑΤΟΜΩΝ με ΑΝΑΠΗΡΙΕΣ- ΓΟΝΕΩΝ ΚΑΙ ΦΙΛΩΝ ΑμεΑ «ΗΛΙΑΧΤΙΔΑ» Νομού ΑΙΤ/ΝΙΑΣ,-,Σωματείο – Σύλλογος,Β΄2814,,06/06/2029,"Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Λογοθεραπεία,Νομική βοήθεια,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη",ΗΛΙΑΧΤΙΔΑ
090041193,"ΧΡΙΣΤΙΑΝΙΚΟΣ ΦΙΛΑΝΘΡΩΠΙΚΟΣ ΟΜΙΛΟΣ  ΑΡΓΟΥΣ ""Η ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ """,-,Σωματείο – Σύλλογος,Β΄1236,,13/03/2029,"Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Σίτιση,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φυσικοθεραπεία,Ψυχολογική υποστήριξη","ΧΡΙΣΤΙΑΝΙΚΟΣ ΦΙΛΑΝΘΡΩΠΙΚΟΣ ΟΜΙΛΟΣ ΑΡΓΟΥΣ Η ΑΓΙΑ ΑΙΚΑΤΕΡΙΝΗ "
090035752,ΕΡΓΑΣΤΗΡΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ,ΜΑΡΓΑΡΙΤΑ,Σωματείο – Σύλλογος,Β΄3696,,15/07/2029,"Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Τοποθέτηση σε θέσεις εργασίας,Ψυχολογική υποστήριξη",ΕΡΓΑΣΤΗΡΙ ΕΙΔΙΚΗΣ ΑΓΩΓΗΣ ΜΑΡΓΑΡΙΤΑ
090143486,"ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΚΑΙ ΚΗΔΕΜΟΝΩΝ  ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ - ""Η ΕΛΠΙΔΑ"" ",-,Σωματείο – Σύλλογος,Β' 4488,,20/08/2029,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διανυκτέρευση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Κατασκήνωση,Νομική βοήθεια,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φροντίδα στο σπίτι,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","ΚΕΝΤΡΟ ΔΙΗΜΕΡΕΥΣΗΣ - ΗΜΕΡΗΣΙΑΣ ΦΡΟΝΤΙΔΑΣ ΑΜΕΑ 'Η ΕΛΠΙΔΑ','ΙΩΑΝΝΑ'"
090168769,ΣΩΜΑΤΕΙΟ ΑΤΟΜΩΝ ΜΕ ΕΙΔΙΚΕΣ ΑΝΑΓΚΕΣ ΝΟΜΟΥ ΖΑΚΥΝΘΟΥ,ΟΙ ΠΟΠΟΛΑΡΟΙ,Σωματείο – Σύλλογος,Β΄6784,,11/12/2028,Γενικός Πληθυσμός,Ενημέρωση/πληροφόρηση,"Σωματείο ΑμεΑ ""ΟΙ ΠΟΠΟΛΑΡΟΙ"""
090003220,ΜΟΝΑΔΑ ΦΡΟΝΤΙΔΑΣ ΗΛΙΚΙΩΜΕΝΩΝ-ΦΙΛΑΝΘΡΩΠΙΚΑ ΙΔΡΥΜΑΤΑ ΛΗΞΟΥΡΙΟΥ,-,Ίδρυμα,Β΄7095,,24/12/2028,Μεταξύ 66 - 80 ετών,"Διανυκτέρευση,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη",ΜΟΝΑΔΑ ΦΡΟΝΤΙΔΑΣ ΗΛΙΚΙΩΜΕΝΩΝ-ΦΙΛΑΝΘΡΩΠΙΚΑ ΙΔΡΥΜΑΤΑ ΛΗΞΟΥΡΙΟΥ
090051600,ΣΤΕΓΗ ΚΑΤΑΚΟΙΤΩΝ ΓΕΡΟΝΤΩΝ ΑΡΧΙΕΠΙΣΚΟΠΗΣ ΑΘΗΝΩΝ,-,Ίδρυμα,Β΄2523,,22/05/2029,Μεταξύ 66 - 80 ετών,Φιλοξενία,"Μαρκοπούλειο Ίδρυμα,Άγιος Παντελεήμονας"
997989795,"ΕΣΤΙΑ ΠΑΠΑΓΕΩΡΓΙΟΥ - ΣΤΕΓΗ ΦΡΟΝΤΙΔΑΣ ΑΤΟΜΩΝ ΤΡΙΤΗΣ ΗΛΙΚΙΑΣ Μ.Κ. ",-,Ίδρυμα,Β' 7078,,30/12/2029,"Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Διανυκτέρευση,Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Προληπτική ιατρική παρακολούθηση,Σίτιση,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχολογική υποστήριξη",ΕΣΤΙΑ ΠΑΠΑΓΕΩΡΓΙΟΥ- ΣΤΕΓΗ ΦΡΟΝΤΙΔΑΣ ΑΤΟΜΩΝ ΤΡΙΤΗΣ ΗΛΙΚΙΑΣ- Μ.Κ ΤΗΣ ΙΕΡΑΣ ΜΗΤΡΟΠΟΛΕΩΣ ΝΕΑΠΟΛΕΩΣ ΚΑΙ ΣΑΥΡΟΥΠΟΛΕΩΣ
099038918,"Κέντρο Ερευνών Ρίζες ",-,Αστική μη Κερδοσκοπική Εταιρεία,Β΄ 1236,,13/03/2029,"Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Ψυχολογική υποστήριξη",ΚΕΝΤΡΟ ΕΡΕΥΝΩΝ ΡΙΖΕΣ
099082708,"ΕΘΝΙΚΗ ΟΜΟΣΠΟΝΔΙΑ ΚΙΝΗΤΙΚΑ ΑΝΑΠΗΡΩΝ ",Ε.Ο.Κ.Α.,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),Β΄ 1236,,13/03/2029,Γενικός Πληθυσμός,"Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Υλική βοήθεια (είδος και χρήμα)",ΓΡΑΦΕΙΟ
998977364,ΚΕΝΤΡΟ ΘΕΡΑΠΕΥΤΙΚΗΣ ΙΠΠΑΣΙΑΣ ΣΕΡΡΩΝ,-,Σωματείο – Σύλλογος,Β' 6358,,19/11/2028,"Γενικός Πληθυσμός, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Διαπολιτισμική διαμεσολάβηση,Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Συμβουλευτική στήριξη,Φυσικοθεραπεία",ΚΕΝΤΡΟ ΘΕΡΑΠΕΥΤΙΚΗΣ ΙΠΠΑΣΙΑΣ ΣΕΡΡΩΝ
090274425,ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΚΑΙ ΦΙΛΩΝ ΑΥΤΙΣΤΙΚΩΝ ΑΤΟΜΩΝ ΜΕ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ Β.ΕΛΛΑΔΟΣ,-,Σωματείο – Σύλλογος,Β΄2755,,04/06/2029,"Γενικός Πληθυσμός, Μεταξύ 6 - 12 ετών, Μεταξύ 13 - 17 ετών, Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Εργοθεραπεία,Κατασκήνωση,Λογοθεραπεία,Παιδαγωγικές δραστηριότητες,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.)",ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΚΑΙ ΦΙΛΩΝ ΑΥΤΙΣΤΙΚΩΝ ΑΤΟΜΩΝ ΜΕ ΝΟΗΤΙΚΗ ΥΣΤΕΡΗΣΗ Β.ΕΛΛΑΔΑΣ
090106153,Σύλλογος Γονέων και Φίλων Παιδιών με Ειδικές Ανάγκες Νομού Άρτας,-,Σωματείο – Σύλλογος,Β΄2033,,28/04/2029,"Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Λογοθεραπεία,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Φιλοξενία,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),Φροντίδα ατομικής υγιεινής,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","""Αγία Θεοδώρα"""
999032495,ΣΥΛΛΟΓΟΣ ΓΟΝΕΩΝ ΜΕ ΤΡΙΑ ΠΑΙΔΙΑ Ν. ΠΡΕΒΕΖΑΣ,-,Σωματείο – Σύλλογος,Β 71,,17/01/2029,Γενικός Πληθυσμός,Ενημέρωση/πληροφόρηση,
999371388,"ΣΥΛΛΟΓΟΣ ΚΑΡΚΙΝΟΠΑΘΩΝ, ΕΘΕΛΟΝΤΩΝ, ΦΙΛΩΝ, ΙΑΤΡΩΝ Κ.Ε.Φ.Ι. ΑΘΗΝΩΝ",-,Σωματείο – Σύλλογος,Β' 6303/24-11-2025,,24/11/2029,"Μεταξύ 18 - 25 ετών, Μεταξύ 26 - 45 ετών, Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Εκπαίδευση εθελοντών,Ενημέρωση/πληροφόρηση,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Συμβουλευτική στήριξη,Ψυχολογική υποστήριξη","Σύλλογος Καρκινοπαθών, Εθελοντών, Φίλων, Ιατρών ""Κ.Ε.Φ.Ι."" "
998821253,ΙΑΣΙΣ,-,Άλλο (ΝΠΙΔ Μη Κερδοσκοπικό),B' 6648,,10/12/2029,Γενικός Πληθυσμός,"Διανυκτέρευση,Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Ενημέρωση/πληροφόρηση,Επαγγελματική κατάρτιση,Επαγγελματικός προσανατολισμός,Εργοθεραπεία,Νομική βοήθεια,Παιδαγωγικές δραστηριότητες,Προάσπιση δικαιωμάτων και διεκδίκηση θεσμικών αλλαγών,Προληπτική ιατρική παρακολούθηση,Πρωτοβάθμια νοσηλευτική φροντίδα (πρώτες βοήθειες),Σίτιση,Συμβουλευτική στήριξη,Συνοδεία ασθενών,Τοποθέτηση σε θέσεις εργασίας,Υλική βοήθεια (είδος και χρήμα),Φαρμακευτική φροντίδα,Φιλοξενία,Φροντίδα ατομικής υγιεινής,Φροντίδα στο σπίτι,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","Οικοτροφείο Α1  Αγίου Νικολάου και Μονάδα Μεταβατικής Φιλοξενίας Βραχείας Διάρκειας,Προστατευμένο Διαμέρισμα Αγίου Νικολάου,Οικοτροφείο Α1  Αγίου Κοσμά  και Μονάδα Μεταβατικής Φιλοξενίας Βραχείας Διάρκειας,Προστατευμένο Διαμέρισμα Αγίου Κοσμά,Κέντρο Ημέρας ΙΑΣΙΣ & Υπηρεσίες ολοκληρωμένης  Κοινοτικής Θεραπείας και υπηρεσιών νοσηλείας κατ΄ οικον."
090016147,ΙΔΡΥΜΑ Η ΠΑΙΔΙΚΗ ΣΤΕΓΗ,-,Ίδρυμα,Β΄4134,,30/07/2029,Κάτω των 5 ετών,Φροντίδα – δημιουργική απασχόληση (Κ.Δ.Α.Π. Α.μεΑ. & βρεφονηπιακοί σταθμοί & κ.α.),"ΠΑΙΔΙΚΗ ΣΤΕΓΗ ΚΥΝΟΣΑΡΓΟΥΣ,ΑΡΓΕΝΤΕΙΟΣ ΠΑΙΔΙΚΗ ΣΤΕΓΗ,ΠΑΠΑΣΤΡΑΤΕΙΟΣ ΠΑΙΔΙΚΗ ΣΤΕΓΗ ΑΘΗΝΩΝ,ΠΑΠΑΣΤΡΑΤΕΙΟΣ ΠΑΙΔΙΚΗ ΣΤΕΓΗ ΠΕΙΡΑΙΑ"
999927832,ΕΤΑΙΡΕΙΑ ΝΟΣΟΥ ALZHEIMER ΚΑΙ ΣΥΝΑΦΩΝ ΔΙΑΤΑΡΑΧΩΝ ΑΘΗΝΩΝ,-,Σωματείο – Σύλλογος,Β' 4488,,20/08/2029,"Μεταξύ 46 - 65 ετών, Μεταξύ 66 - 80 ετών, Άνω των 81 ετών","Έκδοση ενημερωτικού/επιστημονικού υλικού (βιβλία & αφίσες & φυλλάδια & περιοδικά & κ.α.),Εκπαίδευση εθελοντών,Εκπαίδευση επαγγελματιών,Εργοθεραπεία,Συμβουλευτική στήριξη,Φροντίδα στο σπίτι,Φυσικοθεραπεία,Ψυχιατρική παρακολούθηση,Ψυχολογική υποστήριξη","Κέντρο Ημέρας για ασθενείς με άνοια στην περιοχή του Μετς & πρόγραμμα Φροντίδα στο Σπίτι,Κέντρο Ημέρας για ασθενείς με άνοια στη Λέσχη Φιλίας Πανόρμου (Αμπελόκηποι),Κέντρο Ημέρας για ασθενείς με άνοια στο Δήμο Αμαρουσίου,Κέντρο Ημέρας για άτομα με άνοια στην Άρτα,Κέντρο Ημέρας για άτομα με άνοια στο Ηράκλειο Αττικής,Κέντρο Ημέρας για άτομα με άνοια στο Δήμο Πειραιά,Κινητή Μονάδα για άτομα με άνοια στην Άρτα,Κινητή Μονάδα για άτομα με άνοια στο Ηράκλειο Αττικής,Κινητή Μονάδα για άτομα με άνοια στον Πειραιά,Γραμμή Βοήθειας για την άνοια 1102,Κέντρο Ημέρας για άτομα με άνοια στην Ηλιούπολη,Συμβουλευτικός Σταθμός για την άνοια στο Δήμο Ασπροπύργου,Συμβουλευτικός Σταθμός για την άνοια στο Δήμο Ιλίου"
